id,title,description,created,active,categoryObject_id,lang_id
1,Cultural Tourism,"Cultural tourism is a type of tourism that allows the tourist to participate in local cultural activities, like festivals and rituals. As a result, the tourist can enjoy a genuine cultural exchange with the locals.",2023-06-14 20:19:28.612751+02,t,1,1
2,سياحة ثقافية,السياحة الثقافية هي نوع من السياحة التي تسمح للسياح بالمشاركة في الأنشطة الثقافية المحلية ، مثل المهرجانات والطقوس.نتيجة لذلك ، يمكن للسائح الاستمتاع بتبادل ثقافي حقيقي مع السكان المحليين.,2023-06-14 20:19:29.383832+02,t,1,2
3,Islamic Tourism,"Islamic tourism is a sphere of interest or activity related to travel to explore Islamic history, arts, culture and heritage and/or to experience the Islamic way of life in conformity with the Islamic faith. It is not defined as a visit to the mosque alone, but the visit is closely related to nature, culture, or creativity that integrates with Islamic values. Currently, the concept of adherence to Islam (which has been called as Shariah-compliant) has gained traction across the globe",2023-06-14 20:20:44.26035+02,t,2,1
4,السياحة الإسلامية,"السياحة الإسلامية هي مجال اهتمام أو نشاط يتعلق بالسفر لاستكشاف التاريخ الإسلامي والفنون والثقافة و/أو لتجربة الطريقة الإسلامية للحياة وفقًا للإيمان الإسلامي.لا يتم تعريفها على أنها زيارة للمسجد وحده ، لكن الزيارة ترتبط ارتباطًا وثيقًا بالطبيعة أو الثقافة أو الإبداع الذي يتكامل مع القيم الإسلامية.حاليًا ، اكتسب مفهوم الالتزام بالإسلام (الذي أطلق عليه اسم '"متوافق مع الشريعة) جرًا في جميع أنحاء العالم",2023-06-14 20:20:44.986365+02,t,2,2
5,Sport Tourism,"another type of leisure tourism is related to sports, such as football, rafting, skiing, surfing, diving, ...etc. It refers to travel that involves either observing or participating in a sporting event while staying apart from the tourists'' usual environment. Sports tourism is a fast-growing global travel industry sector, equating to $7.68 billion.",2023-06-16 01:10:07.009763+02,t,3,1
6,السياحة الرياضية,هناك نوع آخر من السياحة الترفيهية يرتبط بالرياضة ، مثل كرة القدم ، والركض ، والتزلج ، والتصفح ، والغوص ، ... إلخ.إنه يشير إلى السفر الذي يتضمن إما مراقبة أو المشاركة في حدث رياضي مع البقاء بعيدًا عن البيئة المعتادة للسياح.السياحة الرياضية هي قطاع صناعة سفر عالمي سريع النمو ، أي ما يعادل 7.68 مليار دولار.,2023-06-16 01:10:07.638368+02,t,3,2
7,Dark Tourism,"tourism involving travel to places historically associated with death and tragedy. More recently, it was suggested that the concept should also include reasons tourists visit that site, since the site''s attributes alone may not make a visitor a '"dark tourist'".",2023-06-16 01:52:36.556952+02,t,4,1
8,السياحة المظلمة,"السياحة التي تنطوي على السفر إلى أماكن مرتبطة تاريخيا بالموت والمأساة.في الآونة الأخيرة ، اقترح أن يتضمن المفهوم أيضًا أسباب زيارة السياح هذا الموقع ، لأن سمات الموقع وحدها قد لا تجعل الزائر '"سائحًا مظلمًا'".",2023-06-16 01:52:37.52599+02,t,4,2
9,Regional Tourism,a geographical region that has been designated by a governmental organization or tourism bureau as having common cultural or environmental characteristics. These regions are often named after historical or current administrative and geographical regions.,2023-06-16 02:10:39.541281+02,t,5,1
10,السياحة الإقليمية,المنطقة الجغرافية التي تم تعيينها من قبل منظمة حكومية أو مكتب السياحة على أنها تتمتع بخصائص ثقافية أو بيئية مشتركة.غالبًا ما تتم تسمية هذه المناطق على اسم المناطق الإدارية والجغرافية التاريخية أو الحالية.,2023-06-16 02:10:40.196385+02,t,5,2
11,Beach Tourism,"the major segment of holiday tourism that has led to an overall development of tourism in many parts of the world. It''s one of the earliest modern forms of tourism and a staple of the tourism industry. Each year during the months of mellow sunshine and warm winter, thousands of tourists throng the famous beaches of the world.",2023-06-16 02:16:42.352525+02,t,6,1
12,السياحة الشاطئية,الجزء الرئيسي من السياحة في العطلات التي أدت إلى تطور شامل للسياحة في أجزاء كثيرة من العالم.إنها واحدة من أوائل أشكال السياحة الحديثة ودخول صناعة السياحة.كل عام خلال أشهر من أشعة الشمس الناجحة والشتاء الدافئ ، يظهر الآلاف من السياح الشواطئ الشهيرة في العالم.,2023-06-16 02:16:42.849751+02,t,6,2
13,Religious Tourism,"spiritual tourism, sacred tourism, or faith tourism, is a type of tourism with two main subtypes: pilgrimage, meaning travel for religious or spiritual purposes, and the viewing of religious monuments and artefacts, a branch of sightseeing.",2023-06-16 02:35:11.204126+02,t,7,1
14,السياحة الدينية,السياحة الروحية ، والسياحة المقدسة ، أو السياحة الإيمان ، هي نوع من السياحة مع نوعين فرعيين رئيسيين: الحج ، يعني السفر للأغراض الدينية أو الروحية ، وعرض الآثار الدينية والمصنوعات اليدوية ، فرع من المعالم السياحية.,2023-06-16 02:35:19.922917+02,t,7,2
15,Medical Tourism,"a wider term for travel that focuses on medical treatments and the use of healthcare services. It refers to people traveling abroad to obtain medical treatment. In the past, this usually referred to those who traveled from less-developed countries to major medical centers in highly developed countries for treatment unavailable at home.",2023-06-16 02:41:04.446708+02,t,8,1
16,سياحة طبية,مصطلح أوسع للسفر يركز على العلاجات الطبية واستخدام خدمات الرعاية الصحية.إنه يشير إلى الأشخاص الذين يسافرون إلى الخارج للحصول على العلاج الطبي.في الماضي ، يشير هذا عادة إلى أولئك الذين سافروا من البلدان الأقل تطوراً إلى المراكز الطبية الرئيسية في البلدان المتقدمة للغاية للعلاج غير متوفر في المنزل.,2023-06-16 02:41:04.962068+02,t,8,2
17,Food Tourism,the exploration of food as the purpose of tourism. It is considered a vital component of the tourism experience.,2023-06-16 02:45:11.746663+02,t,9,1
18,السياحة الغذائية,استكشاف الطعام كغرض من السياحة.يعتبر مكونًا حيويًا في تجربة السياحة.,2023-06-16 02:45:12.252866+02,t,9,2
19,Educational Tourism,"learning new things, acquiring new knowledge about culture or history of other destinations. Its main focus is on studying new things, learning about other cultures, study tours, or to apply the learned skills.",2023-06-16 02:59:15.302378+02,t,10,1
20,السياحة التعليمية,تعلم أشياء جديدة ، واكتساب معرفة جديدة عن الثقافة أو تاريخ الوجهات الأخرى.ينصب تركيزها الرئيسي على دراسة أشياء جديدة ، والتعلم عن الثقافات الأخرى ، أو جولات الدراسة ، أو لتطبيق المهارات المستفادة.,2023-06-16 02:59:15.820347+02,t,10,2
